21:23.479 | INFO     | __main__:download_cvm_zips:39 - ZIP inf_mensal_fii_2021.zip ja existe, pulando download
2026-05-02 11:21:23.479 | INFO     | __main__:download_cvm_zips:39 - ZIP inf_mensal_fii_2022.zip ja existe, pulando download
2026-05-02 11:21:23.479 | INFO     | __main__:download_cvm_zips:39 - ZIP inf_mensal_fii_2023.zip ja existe, pulando download
2026-05-02 11:21:23.480 | INFO     | __main__:download_cvm_zips:39 - ZIP inf_mensal_fii_2024.zip ja existe, pulando download
2026-05-02 11:21:23.480 | INFO     | __main__:download_cvm_zips:39 - ZIP inf_mensal_fii_2025.zip ja existe, pulando download
2026-05-02 11:21:23.480 | INFO     | __main__:download_cvm_zips:42 - Baixando inf_mensal_fii_2026.zip ...
2026-05-02 11:21:23.906 | INFO     | __main__:download_cvm_zips:47 - ZIP inf_mensal_fii_2026.zip baixado (465 KB)
2026-05-02 11:21:23.908 | INFO     | __main__:main:65 - --- Etapa 2: Carga relatorios mensais CVM ---
2026-05-02 11:21:23.909 | INFO     | __main__:main:71 - Processando CVM ano 2021 ...
2026-05-02 11:21:23.909 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:42 - Abrindo ZIP D:\analise-de-acoes-v2\dados\cvm\raw\inf_mensal_fii_2021.zip
2026-05-02 11:21:23.933 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_complemento_2021.csv
2026-05-02 11:21:23.989 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_geral_2021.csv
2026-05-02 11:21:24.049 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_ativo_passivo_2021.csv
2026-05-02 11:21:24.309 | INFO     | src.fii_analysis.data.ingestion:load_cvm_to_db:129 - CVM 2021: 0 inseridos, 276 ja existiam (ignorados)
2026-05-02 11:21:24.311 | INFO     | __main__:main:71 - Processando CVM ano 2022 ...
2026-05-02 11:21:24.312 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:42 - Abrindo ZIP D:\analise-de-acoes-v2\dados\cvm\raw\inf_mensal_fii_2022.zip
2026-05-02 11:21:24.326 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_complemento_2022.csv
2026-05-02 11:21:24.366 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_geral_2022.csv
2026-05-02 11:21:24.429 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_ativo_passivo_2022.csv
2026-05-02 11:21:24.652 | INFO     | src.fii_analysis.data.ingestion:load_cvm_to_db:129 - CVM 2022: 0 inseridos, 289 ja existiam (ignorados)
2026-05-02 11:21:24.655 | INFO     | __main__:main:71 - Processando CVM ano 2023 ...
2026-05-02 11:21:24.656 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:42 - Abrindo ZIP D:\analise-de-acoes-v2\dados\cvm\raw\inf_mensal_fii_2023.zip
2026-05-02 11:21:24.682 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_complemento_2023.csv
2026-05-02 11:21:24.733 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_geral_2023.csv
2026-05-02 11:21:24.818 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_ativo_passivo_2023.csv
2026-05-02 11:21:25.073 | INFO     | src.fii_analysis.data.ingestion:load_cvm_to_db:129 - CVM 2023: 0 inseridos, 311 ja existiam (ignorados)
2026-05-02 11:21:25.076 | INFO     | __main__:main:71 - Processando CVM ano 2024 ...
2026-05-02 11:21:25.076 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:42 - Abrindo ZIP D:\analise-de-acoes-v2\dados\cvm\raw\inf_mensal_fii_2024.zip
2026-05-02 11:21:25.091 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_complemento_2024.csv
2026-05-02 11:21:25.146 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_geral_2024.csv
2026-05-02 11:21:25.239 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_ativo_passivo_2024.csv
2026-05-02 11:21:25.508 | INFO     | src.fii_analysis.data.ingestion:load_cvm_to_db:129 - CVM 2024: 0 inseridos, 312 ja existiam (ignorados)
2026-05-02 11:21:25.512 | INFO     | __main__:main:71 - Processando CVM ano 2025 ...
2026-05-02 11:21:25.512 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:42 - Abrindo ZIP D:\analise-de-acoes-v2\dados\cvm\raw\inf_mensal_fii_2025.zip
2026-05-02 11:21:25.533 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_complemento_2025.csv
2026-05-02 11:21:25.584 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_geral_2025.csv
2026-05-02 11:21:25.692 | INFO     | src.fii_analysis.data.ingestion:load_cvm_zip:58 - Lendo inf_mensal_fii_ativo_passivo_2025.csv
